Isotope,Energy (keV),XS (mb),Info
104Pd,1526.57,0.17104608126191745,"(n,n')104Pd"
104Pd,1581.19,0.1547490912137679,"(n,n')104Pd"
104Pd,857.97,0.15297784911886061,"(n,n')104Pd"
104Pd,1637.59,0.1491261,"(n,n')104Pd"
104Pd,478.97,0.14688863205775093,"(n,n')104Pd"
104Pd,623.85,0.1150261419073032,"(n,n')104Pd"
104Pd,1689.09,0.10671717942823045,"(n,n')104Pd"
104Pd,2337.9,0.07787554662742283,"(n,n')104Pd"
104Pd,1625.75,0.07648892369327397,"(n,n')104Pd"
104Pd,975.31,0.07115331255925034,"(n,n')104Pd"
104Pd,216.52,0.06759581812760536,"(n,n')104Pd"
104Pd,1794.3,0.06249064200400934,"(n,n')104Pd"
104Pd,166.1,0.059813561742209524,"(n,n')104Pd"
104Pd,362.12,0.05751292364087676,"(n,n')104Pd"
104Pd,1167.81,0.05520270855682924,"(n,n')104Pd"
104Pd,1900.79,0.05372563,"(n,n')104Pd"
104Pd,117.34,0.049807390926163264,"(n,n')104Pd"
104Pd,996.22,0.04672526353564419,"(n,n')104Pd"
104Pd,262.94,0.04601051200521185,"(n,n')104Pd"
104Pd,2479.0,0.04157849134556911,"(n,n')104Pd"
104Pd,925.91,0.0394294320570564,"(n,n')104Pd"
104Pd,1120.91,0.03795868115099578,"(n,n')104Pd"
104Pd,941.72,0.03705709624639616,"(n,n')104Pd"
104Pd,1888.69,0.03450781495104568,"(n,n')104Pd"
104Pd,2276.5,0.033418390614447915,"(n,n')104Pd"
104Pd,1720.69,0.02339282334542708,"(n,n')104Pd"
104Pd,665.51,0.022484950542999056,"(n,n')104Pd"
104Pd,657.42,0.021674936264876044,"(n,n')104Pd"
104Pd,1238.49,0.020549748833373488,"(n,n')104Pd"
104Pd,1923.19,0.019413581560081192,"(n,n')104Pd"
104Pd,839.88,0.018357320144117357,"(n,n')104Pd"
104Pd,903.22,0.010671705917062147,"(n,n')104Pd"
104Pd,923.63,0.010376006471624042,"(n,n')104Pd"
104Pd,192.5,0.0071763732262958785,"(n,n')104Pd"
104Pd,934.82,0.006349482273473717,"(n,n')104Pd"
104Pd,795.32,0.004982100421128968,"(n,n')104Pd"
104Pd,309.84,0.0044162136054347444,"(n,n')104Pd"
104Pd,1145.41,0.004101290039221552,"(n,n')104Pd"
104Pd,1137.32,0.004015023490724706,"(n,n')104Pd"
104Pd,444.66,0.0025939749634195687,"(n,n')104Pd"
104Pd,179.19,0.0023004814064281408,"(n,n')104Pd"
104Pd,409.02,0.0019320631286269053,"(n,n')104Pd"
104Pd,1709.5,0.0018528540741975241,"(n,n')104Pd"
104Pd,460.71,0.001057809003643324,"(n,n')104Pd"
104Pd,452.62,0.0010030889002562117,"(n,n')104Pd"
104Pd,686.14,0.0008816471964022707,"(n,n')104Pd"
104Pd,684.7,0.0008760585146773142,"(n,n')104Pd"
104Pd,342.7,0.0006297922263366644,"(n,n')104Pd"
104Pd,182.93,0.00037056042619692544,"(n,n')104Pd"
104Pd,658.35,0.0003375408468926013,"(n,n')104Pd"
104Pd,479.9,0.00030164437754585813,"(n,n')104Pd"
104Pd,342.0,0.00010919385233926966,"(n,n')104Pd"
105Pd,306.25,28.91874828443625,"(n,n')105Pd"
105Pd,781.94,6.415934429333333,"(n,n')105Pd"
105Pd,442.38,4.9378367368502385,"(n,n')105Pd"
105Pd,339.56,4.937692237333333,"(n,n')105Pd"
105Pd,280.51,0.00013060962723989407,"(n,n')105Pd"
105Pd,319.22,0.000120836215220903,"(n,n')105Pd"
105Pd,182.89,0.00010134275327000001,"(n,n')105Pd"
105Pd,644.53,8.615526116000002e-05,"(n,n')105Pd"
105Pd,560.75,6.732827021062981e-05,"(n,n')105Pd"
105Pd,447.0,6.251132000000001e-05,"(n,n')105Pd"
105Pd,535.0,6.230994e-05,"(n,n')105Pd"
105Pd,696.66,3.5484961752e-05,"(n,n')105Pd"
105Pd,254.28,3.3556431222e-05,"(n,n')105Pd"
