Isotope,Energy (keV),XS (mb),Info
226Ac,101.65,38374.5527183,"(n,g)226Ac"
226Ac,277.36,35763.6537032,"(n,g)226Ac"
226Ac,258.38,24678.9458036,"(n,g)226Ac"
226Ac,42.86,23161.7004206,"(n,g)226Ac"
226Ac,113.65,21866.8439966,"(n,g)226Ac"
226Ac,33.14,21866.8439966,"(n,g)226Ac"
226Ac,37.27,20658.9692897,"(n,g)226Ac"
226Ac,273.14,19915.742756900003,"(n,g)226Ac"
226Ac,243.16,16127.059533100002,"(n,g)226Ac"
226Ac,300.06,10911.3585572,"(n,g)226Ac"
226Ac,302.67,9927.7589484,"(n,g)226Ac"
226Ac,142.45,7769.5333173,"(n,g)226Ac"
226Ac,28.29,7769.5333173,"(n,g)226Ac"
226Ac,283.69,7529.4234235,"(n,g)226Ac"
226Ac,330.04,6172.7630462,"(n,g)226Ac"
226Ac,245.77,3584.2652226899995,"(n,g)226Ac"
226Ac,220.18,2575.0843040500004,"(n,g)226Ac"
226Ac,18.98,2217.71358104,"(n,g)226Ac"
226Ac,16.37,1818.51882008,"(n,g)226Ac"
226Ac,44.16,1806.745803,"(n,g)226Ac"
226Ac,124.57,1604.43325949,"(n,g)226Ac"
226Ac,199.0,1593.4015389400001,"(n,g)226Ac"
226Ac,96.88,1500.10783541,"(n,g)226Ac"
226Ac,52.72,1335.3645509499997,"(n,g)226Ac"
226Ac,46.35,1330.74131697,"(n,g)226Ac"
226Ac,29.98,1091.5481745000002,"(n,g)226Ac"
226Ac,226.79,975.7699383500001,"(n,g)226Ac"
226Ac,38.2,819.4528706599999,"(n,g)226Ac"
226Ac,77.38,761.9782645500001,"(n,g)226Ac"
226Ac,74.14,668.31171957,"(n,g)226Ac"
226Ac,71.85,625.50952111,"(n,g)226Ac"
226Ac,255.9,493.23853376,"(n,g)226Ac"
226Ac,54.57,393.35255475700006,"(n,g)226Ac"
226Ac,22.0,309.004414205,"(n,g)226Ac"
226Ac,144.43,181.736959114,"(n,g)226Ac"
226Ac,102.77,144.806355536,"(n,g)226Ac"
226Ac,57.18,137.634201949,"(n,g)226Ac"
226Ac,25.39,135.51251478,"(n,g)226Ac"
226Ac,60.46,67.056192738,"(n,g)226Ac"
226Ac,63.59,56.898237092,"(n,g)226Ac"
226Ac,72.58,56.356959034,"(n,g)226Ac"
226Ac,56.9,52.376328259000005,"(n,g)226Ac"
226Ac,230.59,35.7636537032,"(n,g)226Ac"
226Ac,245.49,34.9094958731,"(n,g)226Ac"
226Ac,100.84,34.1401704388,"(n,g)226Ac"
226Ac,35.8,18.6997971292,"(n,g)226Ac"
226Ac,23.46,5.4631361076000005,"(n,g)226Ac"
227Ac,26.4,45967.75173359999,"(n,g)227Ac"
227Ac,12.88,45967.75173359999,"(n,g)227Ac"
227Ac,13.52,24598.720104343996,"(n,g)227Ac"
227Ac,6.67,0.20858552837143998,"(n,g)227Ac"
227Ac,6.28,0.022188808706343995,"(n,g)227Ac"
227Th,57.76,298981.1088,"(n,g)227Th"
227Th,129.06,69745.40530649999,"(n,g)227Th"
227Th,270.24,53277.212686499995,"(n,g)227Th"
227Th,328.0,47569.433881499994,"(n,g)227Th"
227Th,338.32,46143.2834865,"(n,g)227Th"
227Th,209.26,15918.960561299997,"(n,g)227Th"
227Th,911.21,12451.3795593,"(n,g)227Th"
227Th,944.2,9163.712100149998,"(n,g)227Th"
227Th,616.19,8337.633600149999,"(n,g)227Th"
227Th,958.65,8165.42800515,"(n,g)227Th"
227Th,503.82,7977.251559149998,"(n,g)227Th"
227Th,478.4,7790.536636649999,"(n,g)227Th"
227Th,968.97,7608.841729649999,"(n,g)227Th"
227Th,794.95,7555.125445649999,"(n,g)227Th"
227Th,964.77,7254.305782649999,"(n,g)227Th"
227Th,546.47,7090.17033915,"(n,g)227Th"
227Th,332.37,6919.828716149998,"(n,g)227Th"
227Th,572.29,5656.585237649999,"(n,g)227Th"
227Th,583.42,4998.560758649999,"(n,g)227Th"
227Th,610.58,4904.53608015,"(n,g)227Th"
227Th,651.5,4064.626060649999,"(n,g)227Th"
227Th,988.57,3854.7788219999993,"(n,g)227Th"
227Th,792.68,3617.3765699999994,"(n,g)227Th"
227Th,231.57,3080.827993499999,"(n,g)227Th"
227Th,321.64,2832.7926284999994,"(n,g)227Th"
227Th,1117.63,2697.9723809999996,"(n,g)227Th"
227Th,774.06,2632.2038234999995,"(n,g)227Th"
227Th,772.3,2615.8305239999995,"(n,g)227Th"
227Th,687.65,2493.5285429999994,"(n,g)227Th"
227Th,835.7,2350.2356954999996,"(n,g)227Th"
227Th,191.36,2323.483461,"(n,g)227Th"
227Th,620.33,2319.247161,"(n,g)227Th"
227Th,449.18,2205.756684,"(n,g)227Th"
227Th,904.19,2181.2073254999996,"(n,g)227Th"
227Th,278.99,2011.0061358449998,"(n,g)227Th"
227Th,688.4,1960.4331864449996,"(n,g)227Th"
227Th,874.47,1791.9616780799997,"(n,g)227Th"
227Th,1153.47,1727.6313444299997,"(n,g)227Th"
227Th,840.37,1619.2731448799998,"(n,g)227Th"
227Th,640.37,1584.1817538299997,"(n,g)227Th"
227Th,1095.71,1557.6095620799997,"(n,g)227Th"
227Th,880.82,1324.2360313799998,"(n,g)227Th"
227Th,1013.72,1263.0003148799997,"(n,g)227Th"
227Th,153.98,1261.2380140799996,"(n,g)227Th"
227Th,873.11,1245.0871203299998,"(n,g)227Th"
227Th,231.19,1233.13228173,"(n,g)227Th"
227Th,1175.39,1194.5141709299999,"(n,g)227Th"
227Th,979.5,1178.75513493,"(n,g)227Th"
227Th,663.85,1083.1225687649999,"(n,g)227Th"
227Th,726.87,1034.8096854149996,"(n,g)227Th"
227Th,816.71,958.3698882149998,"(n,g)227Th"
227Th,184.5,877.9860957149998,"(n,g)227Th"
227Th,921.74,755.9234656649999,"(n,g)227Th"
227Th,540.74,721.9801119149998,"(n,g)227Th"
227Th,141.01,698.839323165,"(n,g)227Th"
227Th,178.01,677.6027512649999,"(n,g)227Th"
227Th,987.68,642.369444165,"(n,g)227Th"
227Th,1033.26,578.0666464649998,"(n,g)227Th"
227Th,1016.41,555.2393439149998,"(n,g)227Th"
227Th,199.41,544.0957567649999,"(n,g)227Th"
227Th,1110.62,489.1657728149999,"(n,g)227Th"
227Th,173.97,439.0397530649999,"(n,g)227Th"
227Th,1142.78,338.90823629999994,"(n,g)227Th"
227Th,145.85,272.07636749999995,"(n,g)227Th"
227Th,782.14,235.43025434999998,"(n,g)227Th"
227Th,1065.19,228.17135429999996,"(n,g)227Th"
227Th,100.42,166.18416054299996,"(n,g)227Th"
227Th,317.42,93.39963361649998,"(n,g)227Th"
227Th,981.55,78.4980247365,"(n,g)227Th"
227Th,649.18,70.6424418315,"(n,g)227Th"
227Th,694.94,63.24395569649999,"(n,g)227Th"
227Th,77.36,44.46697957649999,"(n,g)227Th"
