Isotope,Energy (keV),XS (mb),Info
105Pd,344.51,8.041393111565746,"(n,n')105Pd"
105Pd,650.7,6.2875325396,"(n,n')105Pd"
105Pd,446.71,6.1011556019999995,"(n,n')105Pd"
105Pd,727.22,6.0720447204,"(n,n')105Pd"
105Pd,392.66,5.730364050749999,"(n,n')105Pd"
105Pd,420.97,5.130792882,"(n,n')105Pd"
105Pd,284.84,4.771758675599999,"(n,n')105Pd"
105Pd,64.0,4.7531862226677415,"(n,n')105Pd"
105Pd,416.15,3.7463496999999997,"(n,n')105Pd"
105Pd,135.91,3.157415225,"(n,n')105Pd"
105Pd,673.17,3.0142699537499995,"(n,n')105Pd"
105Pd,408.0,1.9552808808,"(n,n')105Pd"
105Pd,370.19,1.8349405004000001,"(n,n')105Pd"
105Pd,155.39,1.1615101890000001,"(n,n')105Pd"
105Pd,216.24,0.88737230703349,"(n,n')105Pd"
105Pd,328.66,0.4607327879999999,"(n,n')105Pd"
105Pd,38.71,0.34245988821774,"(n,n')105Pd"
105Pd,325.31,0.341479186,"(n,n')105Pd"
105Pd,382.71,0.2280352392,"(n,n')105Pd"
105Pd,112.42,0.08360070749999998,"(n,n')105Pd"
105Pd,89.95,0.05353448139999999,"(n,n')105Pd"
105Pd,202.15,0.026452613,"(n,n')105Pd"
106Cd,632.7,1038.2856333305788,"(n,n')106Cd"
106Cd,861.1,216.38712788455246,"(n,n')106Cd"
106Cd,1716.6,169.517577023817,"(n,n')106Cd"
106Cd,1083.9,118.77762199627995,"(n,n')106Cd"
106Cd,610.7,35.49344228251442,"(n,n')106Cd"
106Cd,1737.8,27.018663904699185,"(n,n')106Cd"
106Cd,811.2,22.3779123928203,"(n,n')106Cd"
106Cd,1471.8,21.70034578411686,"(n,n')106Cd"
106Cd,844.8,9.386331333821348,"(n,n')106Cd"
106Cd,1705.9,7.052077306846512,"(n,n')106Cd"
106Cd,226.1,5.211823225810758,"(n,n')106Cd"
106Cd,836.8,2.3855867243506963,"(n,n')106Cd"
106Cd,387.9,2.2592140816340835,"(n,n')106Cd"
106Pd,511.85,1731.4710700068765,"(n,n')106Pd"
106Pd,616.16,308.2770931239057,"(n,n')106Pd"
106Pd,717.4,186.8860952060012,"(n,n')106Pd"
106Pd,1050.4,185.03769928773292,"(n,n')106Pd"
106Pd,1128.01,167.70304417333764,"(n,n')106Pd"
