Description: None
Label: None
Date created: 2026-04-21
Real time (s): None
Live time (s): None
Energy calibration: -1.3227E-01ch^0 + 8.7313E-01ch^1
counts,counts_err,Energy (keV)
209.0,14.45683229480096,259.1874927053625
195.0,13.96424004376894,260.0606232102495
191.0,13.820274961085254,260.93375371513645
212.0,14.560219778561036,261.80688422002345
196.0,14.0,262.6800147249104
182.0,13.490737563232042,263.5531452297974
191.0,13.820274961085254,264.42627573468434
199.0,14.106735979665885,265.2994062395713
205.0,14.317821063276353,266.1725367444583
229.0,15.132745950421556,267.04566724934523
208.0,14.422205101855956,267.91879775423223
194.0,13.92838827718412,268.7919282591192
155.0,12.449899597988733,269.6650587640062
188.0,13.711309200802088,270.5381892688931
175.0,13.228756555322953,271.4113197737801
184.0,13.564659966250536,272.28445027866707
165.0,12.84523257866513,273.15758078355407
190.0,13.784048752090222,274.030711288441
148.0,12.165525060596439,274.903841793328
213.0,14.594519519326424,275.77697229821496
179.0,13.379088160259652,276.65010280310196
196.0,14.0,277.5232333079889
164.0,12.806248474865697,278.3963638128759
181.0,13.45362404707371,279.26949431776285
183.0,13.527749258468683,280.14262482264985
184.0,13.564659966250536,281.0157553275368
178.0,13.341664064126334,281.8888858324238
185.0,13.601470508735444,282.76201633731074
168.0,12.96148139681572,283.63514684219774
171.0,13.076696830622021,284.5082773470847
190.0,13.784048752090222,285.38140785197163
167.0,12.922847983320086,286.25453835685863
158.0,12.569805089976535,287.1276688617456
152.0,12.328828005937952,288.0007993666326
172.0,13.114877048604,288.8739298715195
164.0,12.806248474865697,289.7470603764065
166.0,12.884098726725126,290.62019088129347
164.0,12.806248474865697,291.49332138618047
168.0,12.96148139681572,292.3664518910674
167.0,12.922847983320086,293.2395823959544
132.0,11.489125293076057,294.11271290084136
172.0,13.114877048604,294.98584340572836
162.0,12.727922061357855,295.8589739106153
182.0,13.490737563232042,296.7321044155023
153.0,12.36931687685298,297.60523492038925
176.0,13.2664991614216,298.47836542527625
166.0,12.884098726725126,299.3514959301632
149.0,12.206555615733702,300.2246264350502
145.0,12.041594578792296,301.09775693993714
191.0,13.820274961085254,301.97088744482414
151.0,12.288205727444508,302.8440179497111
161.0,12.68857754044952,303.7171484545981
158.0,12.569805089976535,304.59027895948503
157.0,12.529964086141668,305.463409464372
150.0,12.24744871391589,306.336539969259
141.0,11.874342087037917,307.2096704741459
135.0,11.61895003862225,308.0828009790329
150.0,12.24744871391589,308.95593148391987
143.0,11.958260743101398,309.82906198880687
143.0,11.958260743101398,310.7021924936938
155.0,12.449899597988733,311.5753229985808
158.0,12.569805089976535,312.44845350346776
133.0,11.532562594670797,313.32158400835476
175.0,13.228756555322953,314.1947145132417
137.0,11.704699910719626,315.0678450181287
156.0,12.489995996796797,315.94097552301565
150.0,12.24744871391589,316.81410602790265
134.0,11.575836902790225,317.6872365327896
157.0,12.529964086141668,318.5603670376766
140.0,11.832159566199232,319.43349754256354
173.0,13.152946437965905,320.30662804745054
121.0,11.0,321.1797585523375
138.0,11.74734012447073,322.0528890572245
136.0,11.661903789690601,322.92601956211143
